Time,RSL
2410.9,7.865
2411.0,7.878
2411.1,7.897
2411.2,7.924
2411.3,7.930
2411.4,7.964
2411.5,7.994
2411.6,8.011
2411.7,8.033
2411.8,8.056
2411.9,8.076
2412.0,8.076
2412.1,8.092
2412.2,8.116
2412.3,8.128
2412.4,8.148
2412.5,8.158
2412.6,8.165
2412.7,8.173
2412.8,8.190
2412.9,8.185
2413.0,8.188
2413.1,8.198
2413.2,8.213
2413.3,8.211
2413.4,8.227
2413.5,8.230
2413.6,8.237
2413.7,8.236
2413.8,8.246
2413.9,8.237
2414.0,8.221
2414.1,8.247
2414.2,8.252
2414.3,8.253
2414.4,8.258
2414.5,8.255
2414.6,8.278
2414.7,8.283
2414.8,8.296
2414.9,8.306
2415.0,8.305
2415.1,8.326
2415.2,8.348
2415.3,8.356
2415.4,8.393
2415.5,8.407
2415.6,8.418
2415.7,8.444
2415.8,8.467
2415.9,8.497
2416.0,8.508
2416.1,8.537
2416.2,8.565
2416.3,8.597
2416.4,8.629
2416.5,8.657
2416.6,8.689
2416.7,8.721
2416.8,8.774
2416.9,8.793
2417.0,8.835
2417.1,8.871
2417.2,8.917
2417.3,8.975
2417.4,9.036
2417.5,9.090
2417.6,9.151
2417.7,9.229
2417.8,9.315
2417.9,9.398
2418.0,9.498
2418.1,9.586
2418.2,9.697
2418.3,9.835
2418.4,9.953
2418.5,10.081
2418.6,10.213
2418.7,10.341
2418.8,10.474
2418.9,10.598
2419.0,10.740
2419.1,10.877
2419.2,11.033
2419.3,11.200
2419.4,11.396
2419.5,11.614
2419.6,11.812
2419.7,12.064
2419.8,12.278
2419.9,12.526
2420.0,12.731
2420.1,12.937
2420.2,13.234
2420.3,13.475
2420.4,13.687
2420.5,13.911
2420.6,14.115
2420.7,14.339
2420.8,14.547
2420.9,14.769
2421.0,14.976
2421.1,15.184
2421.2,15.390
2421.3,15.574
2421.4,15.786
2421.5,15.990
2421.6,16.204
2421.7,16.393
2421.8,16.600
2421.9,16.790
2422.0,16.967
2422.1,17.128
2422.2,17.302
2422.3,17.470
2422.4,17.642
2422.5,17.789
2422.6,17.916
2422.7,18.040
2422.8,18.191
2422.9,18.318
2423.0,18.466
2423.1,18.578
2423.2,18.688
2423.3,18.779
2423.4,18.877
2423.5,18.974
